Key,Type,Summary,Epic,Parent,Labels,Paths,Description,Acceptance
MARXY-NEW-ra-fidelity-property,Story,"Extend the operation fidelity property, and validate splice",,MARXY-40,"phase-3,core,security,research-artifacts,human-review","packages/core/src/operations/operations.test.ts, packages/core/src/buffer/buffer.ts, packages/core/src/buffer/buffer.test.ts, packages/core/src/buffer/splice.property.test.ts, scripts/gate-fidelity.mjs, fixtures/corpus","MARXY-43 added a mutation property over task markers and tables in .md corpus files. Still open: non-markdown corpus files and other node kinds are skipped, splice validates nothing, and bare-CR files report eol none.","1. operations.test.ts extends the mutation property to every corpus file including non-markdown and to every node kind an operation can apply to, with a negative control; 2. buffer.test.ts asserts inverted, out-of-range and mid-character splice ranges are refused; 3. buffer.test.ts asserts a bare-CR file reports its eol and an edit preserves it; 4. gate:fidelity green."
MARXY-NEW-ra-nested-source-map,Story,Make section ranges and nodeAt nesting-aware,,MARXY-40,"phase-3,core,research-artifacts,human-review","packages/core/src/sourcemap, packages/core/src/operations/copy-section.ts, packages/core/src/outline, packages/core/src/sourcemap/sourcemap.test.ts","sectionRange scans top-level children only: a heading inside a quote yields bytes 7 to 22, cutting the container.","1. sourcemap.test.ts asserts a nested heading's range ends at its container's end and copySection refuses a range that is not its section; 2. nodeAt reaches a taskMarker by byte, asserted in sourcemap.test.ts; 3. gate:golden green."
MARXY-NEW-ra-badge-hero-picture,Story,"Badge line, honoured hero and picture variants",,MARXY-18,"phase-1,artifacts,taste,research-artifacts,human-review","packages/core/src/sanitize, packages/core/src/render, apps/desktop/src/render/images.ts, packages/theme/src/base.css, packages/core/goldens, fixtures/corpus/02-readme-real-world.md, docs/taste-review/queue.md","Blocked badges are a run of bare alt links, a centred hero is left-aligned, and a picture loses its dark source. Draft P03; the opt-in fetch is ADR-0027's.","1. render.test.ts asserts two or more consecutive image-only links collapse to one line of alt texts and keep their links; 2. a picture and a #gh-dark-mode-only image resolve to one image for the active theme and only that one is requested, asserted by gate:no-network with the grant applied; 3. gate:golden regenerated."
MARXY-NEW-ra-heading-ids-links,Story,Heading ids and working links,,MARXY-32,"phase-2,shell,research-artifacts,human-review","packages/core/src/render, apps/desktop/src/selection/view.ts, apps/desktop/src/shell, apps/desktop/src-tauri/src, apps/desktop/test",Headings carry no id and a link click does nothing because openExternal is unimplemented. Draft P15.,"1. render.test.ts asserts github-slugger ids with -n suffixes for duplicates; 2. apps/desktop/test/links.test.mjs asserts a #anchor link scrolls to its heading and a relative markdown link opens its document; 3. cargo test in apps/desktop/src-tauri asserts openExternal refuses every scheme outside http, https and mailto; 4. gate:no-network green."
MARXY-NEW-ra-csp-and-command-gate,Story,Gate the shipped CSP and constrain privileged commands,,MARXY-40,"phase-3,security,gates,research-artifacts,human-review","scripts/gate-no-network.mjs, scripts/gates-by-path.json, apps/desktop/src-tauri/tauri.conf.json, apps/desktop/src-tauri/build.rs, apps/desktop/src-tauri/capabilities","The no-network gate never reads tauri.conf.json's CSP, read_file reads any path, and whether Tauri 2 denies unmanifested commands was not verified. Draft P17. CODEOWNERS-gated.","1. gate:no-network parses the CSP and fails on any http(s): source, *, unsafe-eval or missing base-uri, shown by --selftest; 2. cargo test in apps/desktop/src-tauri asserts read_file refuses a path the app did not open; 3. a cargo test asserts a command absent from the app manifest is refused from the webview, which settles the unverified Tauri default."
MARXY-NEW-ra-derived-transcript,Story,"A summoned, read-only transcript view for JSONL",,MARXY-40,"phase-3,artifacts,core,taste,research-artifacts,human-review","packages/core/src/parse, packages/core/src/contracts, apps/desktop/src/source, docs/adr, docs/taste-review/queue.md",Only 503 of 941 lines in one session file were conversation. Needs draft P10 accepted; a large story.,"1. a new transcript.test.ts asserts every rendered turn carries {file, start, end} into its JSONL line and the view never writes; 2. gate:fidelity green on a JSONL fixture; 3. the view is summoned from the palette and Source stays the default, asserted in apps/desktop/test/transcript-view.test.mjs."
MARXY-NEW-ra-anchors-and-changed,Story,Stable anchors and changed-since-last-read,,MARXY-40,"phase-3,core,taste,research-artifacts,human-review","packages/core/src/position, packages/core/src/contracts/position.ts, docs/adr/0018-reading-position-coordinate.md, apps/desktop/src/position, docs/taste-review/queue.md",offsetThroughEdit survives one edit site and drops to the first differing byte when edits fall above and below. Needs drafts P09 and P05.,"1. reload.test.ts asserts an anchor resolves after a regeneration with edits above and below, and fails visibly when the quote is gone; 2. the marks are a summoned view and nothing is written, asserted in apps/desktop/test/changed-marks.test.mjs."
MARXY-NEW-ra-link-mismatch-label,Story,Show where a link that names another host really goes,,MARXY-40,"phase-3,security,taste,research-artifacts,human-review","packages/core/src/render, apps/desktop/src/selection, packages/core/src/sanitize/vectors.test.ts, docs/taste-review/queue.md",A link whose text is one URL and whose destination is another renders with no mark; a homograph host is punycode in the href only.,"1. vectors.test.ts asserts the label appears only when the text looks like a URL or host whose host differs and shows punycode and Unicode forms; 2. the destination shows on focus only, asserted in apps/desktop/test and gate:aesthetics chrome-at-rest green."
MARXY-NEW-ra-registry-hygiene,Story,Register data-marxy-remote and read TOML titles,,MARXY-40,"phase-3,gates,core,research-artifacts,human-review","scripts/registry.json, scripts/check-registry.mjs, packages/core/src/sanitize/policy.ts, packages/core/src/outline/outline.ts, packages/core/src/outline/outline.test.ts",data-marxy-remote is spelled with a template so the registry gate is evaded; the outline reads YAML titles only. Draft P12.,"1. scripts/check-registry.mjs fails on a concatenated data-marxy- name, shown by its own selftest; 2. outline.test.ts asserts a TOML front matter title yields an entry."
MARXY-NEW-ra-slash-break-and-tabs,Story,Break long paths after a slash; tab width from .editorconfig,,MARXY-18,"phase-1,typography,taste,research-artifacts,human-review","packages/typeset/src, packages/typeset/test, apps/desktop/src/source, apps/desktop/src/render/highlight.ts, scripts/gate-aesthetics.mjs, docs/taste-review/queue.md",Engines never break inline code after / and the fallback reaches break-word mid-name; tab width is a constant 4.,1. packages/typeset/test/slash-break.test.ts asserts a path wider than the measure breaks after a slash only in a third pass and never at a hyphen; 2. the rag check in gate:aesthetics reports overfull lines and the corpus count does not rise; 3. apps/desktop/test/tab-width.test.mjs asserts tab width from .editorconfig in Source and one shared value with highlight.ts.
